mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;gastototal;factoregatur
022019;2;20180200003214;4;4;07;98;53.598934932;27.454212313
032019;2;20180200003214;4;4;07;98;53.647030393;38.975036765
022019;2;20180200003216;4;4;07;98;53.598934932;54.908424627
032019;2;20180200003216;4;4;07;98;0;77.950073531
022019;2;20180200003230;4;4;07;98;53.598934932;27.454212313
032019;2;20180200003230;4;4;07;98;53.647030393;38.975036765
032019;2;20180200005191;4;4;03;98;53.647030393;49.210418787
022019;2;20180200005191;4;4;03;98;53.598934932;36.931456268
022019;2;20180200005214;4;4;05;98;53.598934932;27.454212313
032019;2;20180200005214;4;4;05;98;53.647030393;38.975036765
032019;2;20180200008809;4;1;06;98;94.871633381;20.646226863
012019;2;20180200008809;4;1;06;98;91.112401468;102.18404042
022019;2;20180200008809;4;1;06;98;92.57401107;74.155479988
012019;2;20180200010030;4;2;05;98;41.773998326;236.07294832
022019;2;20180200010030;4;2;05;98;39.802402072;143.05854737
022019;2;20180200010059;4;2;05;98;39.802402072;429.1756421
012019;2;20180200010059;4;2;05;98;41.773998326;708.21884497
012019;2;20180200010121;4;2;05;98;41.773998326;236.07294832
022019;2;20180200010121;4;2;05;98;39.802402072;143.05854737
022019;2;20180200011133;4;1;07;98;92.57401107;706.34392439
012019;2;20180200011133;4;1;07;98;91.112401468;1040.4236978
032019;2;20180200011133;4;1;07;98;94.871633381;825.53194074
022019;2;20180200011138;4;1;07;98;92.57401107;706.34392439
032019;2;20180200011138;4;1;07;98;94.871633381;825.53194074
012019;2;20180200011138;4;1;07;98;91.112401468;1040.4236978
012019;2;20180200012532;3;1;07;02;85.137445697;707.65188589
032019;2;20180200012532;3;1;07;02;86.438256353;338.05122084
022019;2;20180200012532;3;1;07;02;85.717116458;321.21601254
012019;2;20180200013391;3;2;01;09;266.51455969;146.2343716
022019;2;20180200013391;3;2;01;09;265.9287032;43.687729095
022019;2;20180200013509;4;2;01;98;39.802402072;157.69382227
012019;2;20180200013509;4;2;01;98;41.773998326;273.71542826
032019;2;20180200013785;3;4;14;12;137.77476824;54.813397296
012019;2;20180200013785;3;4;14;12;137.37622734;63.659275662
022019;2;20180200013785;3;4;14;12;137.9401982;62.08935303
012019;2;20180200014027;3;1;14;12;50.192037402;734.22359887
022019;2;20180200014027;3;1;14;12;50.39172798;835.50316355
022019;2;20180200014103;4;1;02;98;92.57401107;164.89395761
012019;2;20180200014103;4;1;02;98;91.112401468;291.83487956
032019;2;20180200014103;4;1;02;98;94.871633381;76.005254543
012019;2;20180200014235;4;2;05;98;41.773998326;472.14589664
022019;2;20180200014235;4;2;05;98;39.802402072;286.11709473
012019;2;20180200014237;4;2;05;98;41.773998326;472.14589664
022019;2;20180200014237;4;2;05;98;39.802402072;286.11709473
012019;2;20180200016685;4;2;05;98;41.773998326;236.07294832
022019;2;20180200016685;4;2;05;98;39.802402072;143.05854737
022019;2;20180200016940;4;2;01;98;39.802402072;359.69055823
022019;2;20180200016943;4;2;01;98;39.802402072;359.69055823
022019;2;20180200016944;4;2;01;98;39.802402072;719.38111647
022019;2;20180200016945;4;2;01;98;39.802402072;719.38111647
